,signal,date
0,상승,1872-01-01
1,회복,1872-09-01
2,상승,1872-10-01
3,회복,1872-11-01
4,상승,1873-02-01
5,회복,1873-03-01
6,상승,1874-10-01
7,하락,1875-01-01
8,정상,1875-03-01
9,하락,1877-01-01
10,회복,1877-10-01
11,상승,1878-04-01
12,회복,1880-05-01
13,상승,1880-08-01
14,회복,1880-09-01
15,상승,1881-03-01
16,정상,1881-09-01
17,하락,1882-04-01
18,정상,1882-07-01
19,하락,1882-11-01
20,정상,1883-01-01
21,하락,1883-08-01
22,정상,1883-11-01
23,하락,1883-12-01
24,정상,1884-02-01
25,하락,1884-04-01
26,정상,1884-08-01
27,하락,1884-11-01
28,정상,1884-12-01
29,상승,1886-05-01
30,회복,1886-11-01
31,상승,1887-05-01
32,회복,1887-06-01
33,하락,1888-04-01
34,정상,1888-07-01
35,상승,1889-08-01
36,회복,1889-09-01
37,상승,1890-07-01
38,회복,1890-09-01
39,하락,1890-11-01
40,회복,1891-02-01
41,상승,1891-12-01
42,회복,1892-01-01
43,상승,1892-06-01
44,회복,1892-09-01
45,하락,1893-03-01
46,정상,1893-04-01
47,하락,1893-05-01
48,정상,1893-10-01
49,상승,1895-07-01
50,회복,1895-08-01
51,하락,1896-09-01
52,정상,1896-11-01
53,하락,1897-02-01
54,회복,1897-04-01
55,상승,1898-12-01
56,회복,1899-06-01
57,상승,1900-12-01
58,회복,1902-03-01
59,하락,1903-07-01
60,정상,1904-06-01
61,상승,1905-02-01
62,회복,1905-10-01
63,하락,1907-07-01
64,정상,1908-04-01
65,상승,1909-04-01
66,회복,1909-10-01
67,하락,1910-11-01
68,정상,1911-02-01
69,회복,1912-07-01
70,상승,1912-08-01
71,회복,1912-11-01
72,하락,1913-08-01
73,정상,1914-01-01
74,하락,1915-02-01
75,회복,1915-03-01
76,하락,1917-09-01
77,정상,1918-05-01
78,하락,1920-05-01
79,정상,1921-02-01
80,상승,1922-07-01
81,회복,1922-09-01
82,상승,1924-07-01
83,정상,1924-11-01
84,상승,1925-02-01
85,회복,1925-11-01
86,상승,1926-07-01
87,정상,1926-12-01
88,상승,1928-04-01
89,회복,1929-11-01
90,정상,1930-04-01
91,하락,1930-06-01
92,정상,1930-11-01
93,하락,1931-05-01
94,정상,1931-06-01
95,하락,1931-09-01
96,정상,1932-09-01
97,상승,1933-11-01
98,회복,1934-06-01
99,상승,1936-01-01
100,회복,1936-12-01
101,하락,1938-02-01
102,정상,1938-07-01
103,회복,1939-07-01
104,하락,1942-03-01
105,정상,1942-08-01
106,상승,1943-03-01
107,정상,1943-11-01
108,상승,1945-01-01
109,정상,1946-02-01
110,하락,1946-10-01
111,회복,1946-11-01
112,상승,1949-12-01
113,정상,1950-03-01
114,상승,1950-04-01
115,회복,1950-12-01
116,상승,1951-01-01
117,정상,1951-08-01
118,상승,1953-02-01
119,회복,1953-05-01
120,상승,1954-04-01
121,회복,1955-12-01
122,상승,1956-03-01
123,정상,1956-10-01
124,하락,1957-08-01
125,회복,1957-09-01
126,하락,1957-11-01
127,정상,1958-02-01
128,상승,1959-04-01
129,회복,1959-09-01
130,정상,1960-06-01
131,하락,1960-07-01
132,정상,1960-09-01
133,하락,1960-10-01
134,정상,1960-11-01
135,하락,1960-12-01
136,정상,1961-01-01
137,상승,1962-01-01
138,회복,1962-04-01
139,상승,1963-05-01
140,회복,1965-01-01
141,정상,1967-05-01
142,하락,1968-03-01
143,상승,1968-04-01
144,회복,1968-08-01
145,상승,1968-10-01
146,회복,1969-01-01
147,상승,1969-02-01
148,회복,1969-04-01
149,상승,1969-05-01
150,회복,1969-06-01
151,하락,1970-01-01
152,정상,1970-12-01
153,상승,1971-09-01
154,회복,1971-12-01
155,상승,1972-08-01
156,회복,1972-09-01
157,상승,1972-11-01
158,회복,1973-02-01
159,하락,1975-04-01
160,정상,1975-05-01
161,상승,1976-03-01
162,회복,1976-06-01
163,상승,1976-09-01
164,회복,1976-10-01
165,상승,1980-02-01
166,회복,1980-03-01
167,상승,1980-06-01
168,정상,1980-10-01
169,상승,1981-06-01
170,회복,1981-09-01
171,하락,1982-04-01
172,정상,1982-09-01
173,상승,1983-10-01
174,회복,1984-02-01
175,상승,1985-02-01
176,정상,1985-05-01
177,상승,1987-01-01
178,정상,1987-06-01
179,상승,1987-07-01
180,회복,1987-11-01
181,상승,1989-05-01
182,정상,1989-11-01
183,하락,1990-09-01
184,정상,1990-11-01
185,상승,1992-09-01
186,회복,1992-10-01
187,상승,1995-10-01
188,정상,1998-02-01
189,상승,1999-05-01
190,회복,1999-11-01
191,하락,2001-01-01
192,정상,2001-02-01
193,하락,2001-03-01
194,정상,2001-05-01
195,하락,2002-07-01
196,회복,2002-09-01
197,상승,2007-05-01
198,정상,2007-10-01
199,회복,2009-11-01
200,상승,2012-08-01
201,정상,2012-09-01
202,상승,2013-04-01
203,정상,2015-02-01
204,상승,2016-10-01
205,회복,2016-11-01
206,상승,2016-12-01
207,회복,2017-04-01
208,상승,2017-10-01
209,회복,2018-03-01
210,상승,2019-09-01
211,정상,2020-01-01
212,상승,2021-03-01
213,회복,2021-06-01
214,하락,2022-10-01
215,정상,2023-02-01
