DATE,WHLSLRSMSA
1992-01-01,142980
1992-02-01,144206
1992-03-01,145306
1992-04-01,145381
1992-05-01,144000
1992-06-01,145989
1992-07-01,148808
1992-08-01,147427
1992-09-01,149251
1992-10-01,149276
1992-11-01,149801
1992-12-01,148469
1993-01-01,153497
1993-02-01,152528
1993-03-01,149841
1993-04-01,153239
1993-05-01,156085
1993-06-01,152751
1993-07-01,154732
1993-08-01,154879
1993-09-01,155380
1993-10-01,155866
1993-11-01,156094
1993-12-01,152929
1994-01-01,156983
1994-02-01,157654
1994-03-01,160546
1994-04-01,160114
1994-05-01,161206
1994-06-01,162652
1994-07-01,164247
1994-08-01,168414
1994-09-01,168187
1994-10-01,171258
1994-11-01,171528
1994-12-01,174127
1995-01-01,175771
1995-02-01,177369
1995-03-01,175256
1995-04-01,178210
1995-05-01,178565
1995-06-01,180181
1995-07-01,180081
1995-08-01,181324
1995-09-01,182123
1995-10-01,182966
1995-11-01,184854
1995-12-01,186968
1996-01-01,184352
1996-02-01,185286
1996-03-01,187580
1996-04-01,187462
1996-05-01,188032
1996-06-01,189016
1996-07-01,190819
1996-08-01,191939
1996-09-01,191679
1996-10-01,193329
1996-11-01,194369
1996-12-01,192137
1997-01-01,194379
1997-02-01,199102
1997-03-01,197622
1997-04-01,196608
1997-05-01,197677
1997-06-01,197465
1997-07-01,197978
1997-08-01,197328
1997-09-01,200474
1997-10-01,199698
1997-11-01,199693
1997-12-01,199039
1998-01-01,201068
1998-02-01,200976
1998-03-01,202223
1998-04-01,202434
1998-05-01,202077
1998-06-01,200992
1998-07-01,202201
1998-08-01,200940
1998-09-01,202070
1998-10-01,203185
1998-11-01,203149
1998-12-01,204997
1999-01-01,204181
1999-02-01,206856
1999-03-01,209359
1999-04-01,210145
1999-05-01,214770
1999-06-01,216526
1999-07-01,217499
1999-08-01,218978
1999-09-01,220899
1999-10-01,223817
1999-11-01,226182
1999-12-01,227783
2000-01-01,229894
2000-02-01,228883
2000-03-01,231906
2000-04-01,232971
2000-05-01,233622
2000-06-01,236402
2000-07-01,235378
2000-08-01,235215
2000-09-01,237498
2000-10-01,238481
2000-11-01,237251
2000-12-01,239613
2001-01-01,239255
2001-02-01,237781
2001-03-01,233603
2001-04-01,233352
2001-05-01,234143
2001-06-01,229955
2001-07-01,231346
2001-08-01,232379
2001-09-01,231493
2001-10-01,227749
2001-11-01,227826
2001-12-01,227036
2002-01-01,228647
2002-02-01,230432
2002-03-01,229851
2002-04-01,234124
2002-05-01,235481
2002-06-01,236773
2002-07-01,238061
2002-08-01,240158
2002-09-01,240070
2002-10-01,238912
2002-11-01,242479
2002-12-01,239511
2003-01-01,244524
2003-02-01,244835
2003-03-01,246870
2003-04-01,242543
2003-05-01,241416
2003-06-01,245465
2003-07-01,247901
2003-08-01,247738
2003-09-01,249360
2003-10-01,253729
2003-11-01,255060
2003-12-01,257983
2004-01-01,258202
2004-02-01,264437
2004-03-01,272639
2004-04-01,272877
2004-05-01,274203
2004-06-01,274798
2004-07-01,276022
2004-08-01,279496
2004-09-01,280106
2004-10-01,283793
2004-11-01,287485
2004-12-01,291522
2005-01-01,293241
2005-02-01,294847
2005-03-01,294069
2005-04-01,298228
2005-05-01,297053
2005-06-01,297517
2005-07-01,301794
2005-08-01,306650
2005-09-01,311945
2005-10-01,317361
2005-11-01,313203
2005-12-01,317647
2006-01-01,319732
2006-02-01,321646
2006-03-01,322013
2006-04-01,324313
2006-05-01,329012
2006-06-01,330765
2006-07-01,332325
2006-08-01,335442
2006-09-01,331075
2006-10-01,329831
2006-11-01,330669
2006-12-01,339191
2007-01-01,334342
2007-02-01,339166
2007-03-01,342358
2007-04-01,348432
2007-05-01,350481
2007-06-01,351639
2007-07-01,349584
2007-08-01,352921
2007-09-01,356044
2007-10-01,361845
2007-11-01,368444
2007-12-01,365878
2008-01-01,375053
2008-02-01,375184
2008-03-01,378509
2008-04-01,385877
2008-05-01,392439
2008-06-01,402309
2008-07-01,399528
2008-08-01,392813
2008-09-01,383710
2008-10-01,365550
2008-11-01,333694
2008-12-01,322614
2009-01-01,312300
2009-02-01,316272
2009-03-01,304686
2009-04-01,306545
2009-05-01,310088
2009-06-01,313918
2009-07-01,318198
2009-08-01,321673
2009-09-01,323683
2009-10-01,327429
2009-11-01,336201
2009-12-01,338825
2010-01-01,342617
2010-02-01,347740
2010-03-01,353109
2010-04-01,358532
2010-05-01,356380
2010-06-01,356959
2010-07-01,360442
2010-08-01,363987
2010-09-01,363487
2010-10-01,373609
2010-11-01,377937
2010-12-01,379973
2011-01-01,394889
2011-02-01,391738
2011-03-01,401999
2011-04-01,407043
2011-05-01,403176
2011-06-01,405181
2011-07-01,409277
2011-08-01,415002
2011-09-01,412694
2011-10-01,416852
2011-11-01,414837
2011-12-01,420443
2012-01-01,427307
2012-02-01,431642
2012-03-01,432995
2012-04-01,439641
2012-05-01,432047
2012-06-01,426107
2012-07-01,426798
2012-08-01,430798
2012-09-01,438430
2012-10-01,434254
2012-11-01,442131
2012-12-01,440598
2013-01-01,444561
2013-02-01,449905
2013-03-01,443663
2013-04-01,441054
2013-05-01,448396
2013-06-01,446647
2013-07-01,445741
2013-08-01,449754
2013-09-01,451813
2013-10-01,455620
2013-11-01,459276
2013-12-01,461470
2014-01-01,455748
2014-02-01,458570
2014-03-01,466539
2014-04-01,470600
2014-05-01,472313
2014-06-01,471082
2014-07-01,475066
2014-08-01,473139
2014-09-01,472832
2014-10-01,470165
2014-11-01,469107
2014-12-01,463180
2015-01-01,450569
2015-02-01,445481
2015-03-01,444498
2015-04-01,450783
2015-05-01,452224
2015-06-01,453375
2015-07-01,452764
2015-08-01,447234
2015-09-01,449071
2015-10-01,448732
2015-11-01,442640
2015-12-01,437855
2016-01-01,432603
2016-02-01,429239
2016-03-01,433269
2016-04-01,436756
2016-05-01,438214
2016-06-01,446397
2016-07-01,444628
2016-08-01,447484
2016-09-01,447410
2016-10-01,452958
2016-11-01,454056
2016-12-01,463948
2017-01-01,467229
2017-02-01,469117
2017-03-01,465695
2017-04-01,467581
2017-05-01,462819
2017-06-01,467177
2017-07-01,467495
2017-08-01,475669
2017-09-01,481957
2017-10-01,488958
2017-11-01,495635
2017-12-01,504881
2018-01-01,493700
2018-02-01,499549
2018-03-01,497915
2018-04-01,502803
2018-05-01,515880
2018-06-01,511534
2018-07-01,513435
2018-08-01,515425
2018-09-01,515858
2018-10-01,516092
2018-11-01,511674
2018-12-01,506815
2019-01-01,500860
2019-02-01,504192
2019-03-01,508459
2019-04-01,506886
2019-05-01,511097
2019-06-01,507061
2019-07-01,510046
2019-08-01,507734
2019-09-01,507334
2019-10-01,501921
2019-11-01,508581
2019-12-01,507554
2020-01-01,511021
2020-02-01,506880
2020-03-01,476869
2020-04-01,396806
2020-05-01,420975
2020-06-01,460866
2020-07-01,486605
2020-08-01,495020
2020-09-01,496199
2020-10-01,508730
2020-11-01,510955
2020-12-01,522116
2021-01-01,543647
2021-02-01,535862
2021-03-01,556496
2021-04-01,565463
2021-05-01,568172
2021-06-01,578157
2021-07-01,592916
2021-08-01,588631
2021-09-01,597338
2021-10-01,611885
2021-11-01,625476
2021-12-01,628311
2022-01-01,652880
2022-02-01,661122
2022-03-01,675072
2022-04-01,676130
2022-05-01,674275
2022-06-01,684565
2022-07-01,672867
2022-08-01,673661
2022-09-01,673820
2022-10-01,672652
2022-11-01,666026
2022-12-01,663918
2023-01-01,666800
2023-02-01,669258
2023-03-01,651407
2023-04-01,652848
