,0
0,1854-12-31
1,1857-06-30
2,1858-12-30
3,1860-10-30
4,1861-06-30
5,1865-04-30
6,1867-12-30
7,1869-06-30
8,1870-12-30
9,1873-10-30
10,1879-03-30
11,1882-03-30
12,1885-05-30
13,1887-03-30
14,1888-04-30
15,1890-07-30
16,1891-05-30
17,1893-01-30
18,1894-06-30
19,1895-12-30
20,1897-06-30
21,1899-06-30
22,1900-12-30
23,1902-09-30
24,1904-08-30
25,1907-05-30
26,1908-06-30
27,1910-01-30
28,1912-01-30
29,1913-01-30
30,1914-12-30
31,1918-08-30
32,1919-03-30
33,1920-01-30
34,1921-07-30
35,1923-05-30
36,1924-07-30
37,1926-10-30
38,1927-11-30
39,1929-08-30
40,1933-03-30
41,1937-05-30
42,1938-06-30
43,1945-02-28
44,1945-10-28
45,1948-11-28
46,1949-10-28
47,1953-07-28
48,1954-05-28
49,1957-08-28
50,1958-04-28
51,1960-04-28
52,1961-02-28
53,1969-12-28
54,1970-11-28
55,1973-11-28
56,1975-03-28
57,1980-01-28
58,1980-07-28
59,1981-07-28
60,1982-11-28
61,1990-07-28
62,1991-03-28
63,2001-03-28
64,2001-11-28
65,2007-12-28
66,2009-06-28
67,2020-02-28
68,2020-04-28
